12:05:39 Startup DB Server
12:05:40 [127.0.0.1:3004] RunGate connected.
12:05:41 [127.0.0.1:3004] RunGate disconnected.
12:05:43 [127.0.0.1:3006] RunGate connected.
12:05:44 [127.0.0.1:3006] RunGate disconnected.
12:05:46 [127.0.0.1:3010] RunGate connected.
12:05:50 Connected to LoginServer.
12:05:50 KillTimer : TIMER_CONNLOGINSERVER, StartTimer : TIMER_KEEPALIVE
12:05:53 [127.0.0.1:3016] GameServer connected.
12:00:48 [127.0.0.1:3016] GameServer disconnected.
12:09:00 [127.0.0.1:3836] GameServer connected.
12:09:19 [127.0.0.1:3836] GameServer disconnected.
12:10:20 [127.0.0.1:3875] GameServer connected.
19:04:08 [127.0.0.1:3875] GameServer disconnected.
19:04:24 [127.0.0.1:3928] GameServer connected.
19:00:26 [127.0.0.1:3928] GameServer disconnected.
19:01:37 [127.0.0.1:3984] GameServer connected.
20:02:51 [127.0.0.1:3984] GameServer disconnected.
20:03:05 [127.0.0.1:4010] GameServer connected.
20:05:00 [127.0.0.1:4010] GameServer disconnected.
20:05:23 [127.0.0.1:4038] GameServer connected.
20:06:11 [127.0.0.1:4038] GameServer disconnected.
20:09:13 [127.0.0.1:4153] GameServer connected.
19:01:04 [127.0.0.1:4153] GameServer disconnected.
19:01:15 [127.0.0.1:4173] GameServer connected.
20:00:38 [127.0.0.1:4173] GameServer disconnected.
20:01:22 [127.0.0.1:4209] GameServer connected.
19:00:18 [127.0.0.1:4209] GameServer disconnected.
