2016-11-24 00:25:11.09 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Enterprise Edition on Windows NT 5.2 (Build 3790: Service Pack 2)

2016-11-24 00:25:11.11 server    Copyright (C) 1988-2002 Microsoft Corporation.
2016-11-24 00:25:11.11 server    保留所有权利。
2016-11-24 00:25:11.11 server    服务器进程 ID 是 3488。
2016-11-24 00:25:11.11 server    将 SQL Server 消息记录在文件“D:\Mud3\Gsql\Log\SQL日志.Log”中。
2016-11-24 00:25:11.11 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2016-11-24 00:25:11.15 server    已为 thread 模式处理而配置了 SQL Server。
2016-11-24 00:25:11.17 server    使用 dynamic 锁分配。[2500] 锁块，[5000] 锁所有者块。
2016-11-24 00:25:11.22 server    尝试初始化分布式事务处理协调器。
2016-11-24 00:25:13.39 spid3     启动数据库“master”。
2016-11-24 00:25:13.62 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2016-11-24 00:25:13.62 spid3     服务器名称是“iZhn6ss22e6di3Z”。
2016-11-24 00:25:13.62 spid3     Skipping startup of clean database id 8
2016-11-24 00:25:13.64 spid5     启动数据库“model”。
2016-11-24 00:25:13.65 spid8     启动数据库“msdb”。
2016-11-24 00:25:13.65 spid9     启动数据库“account”。
2016-11-24 00:25:13.65 spid10    启动数据库“conlog”。
2016-11-24 00:25:13.65 spid11    启动数据库“game1”。
2016-11-24 00:25:13.73 server    SQL Server 正在监听 120.24.191.9: 1433。
2016-11-24 00:25:13.73 server    SQL Server 正在监听 10.169.230.47: 1433。
2016-11-24 00:25:13.73 server    SQL Server 正在监听 169.254.25.129: 1433。
2016-11-24 00:25:13.73 server    SQL Server 正在监听 127.0.0.1: 1433。
2016-11-24 00:25:13.76 spid5     清除 tempdb 数据库。
2016-11-24 00:25:13.80 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2016-11-24 00:25:13.80 server    SQL Server 已准备好进行客户端连接
2016-11-24 00:25:13.89 spid8     启动数据库“kingforeiserverbasedata”。
2016-11-24 00:25:13.89 spid9     启动数据库“manage”。
2016-11-24 00:25:14.28 spid5     启动数据库“tempdb”。
2016-11-24 00:25:14.37 spid3     恢复完成。
2016-11-24 00:26:01.69 spid53    启动数据库“herocommon1”。
2016-11-24 00:36:56.16 spid52    使用 'xpstar.dll' 版本 '2000.80.2039' 来执行扩展存储过程 'sp_MSgetversion'。
2016-11-24 00:37:00.60 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:00.73 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:00.80 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:00.88 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:00.94 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:01.02 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:01.16 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:01.24 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:01.32 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:01.41 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:05.87 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:05.96 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:06.05 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:06.12 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:06.23 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:06.27 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:35.98 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:36.07 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:36.15 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:36.23 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:36.30 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:36.38 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:56.68 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:56.77 spid52    启动数据库“herocommon1”。
2016-11-24 00:37:56.84 spid52    启动数据库“herocommon1”。
2016-11-24 00:44:30.58 spid65    启动数据库“herocommon1”。
